nazwa	liczba_detektorow	alfa	fi	blad	czy_filtr
CT_ScoutView_FILTR_	281	1	250	73.112011134	1
CT_ScoutView_FILTR_	281	0.5	250	73.1117436463	1
CT_ScoutView_FILTR_	281	2	250	73.204474026	1
CT_ScoutView_FILTR_	281	4	250	73.2599286303	1
CT_ScoutView_FILTR_	281	6	250	73.2778911636	1
CT_ScoutView_FILTR_	281	8	250	73.281018228	1
Kwadraty2_FILTR_	281	1	250	0.41520881672	1
Kwadraty2_FILTR_	281	0.5	250	0.413978616211	1
Kwadraty2_FILTR_	281	2	250	0.406272538403	1
Kwadraty2_FILTR_	281	4	250	0.39376700616	1
Kwadraty2_FILTR_	281	6	250	0.366106148615	1
Kwadraty2_FILTR_	281	8	250	0.394630988396	1
Kwadraty2_FILTR_	281	1	250	0.41520881672	1
Kwadraty2_BEZ_FILTRA_	281	1	250	0.36229474484	0
Kwadraty2_BEZ_FILTRA_	281	0.5	250	0.362220225486	0
Kwadraty2_BEZ_FILTRA_	281	2	250	0.362560696981	0
Kwadraty2_BEZ_FILTRA_	281	4	250	0.347020074879	0
Kwadraty2_BEZ_FILTRA_	281	6	250	0.376399879192	0
Kwadraty2_BEZ_FILTRA_	281	8	250	0.398037312887	0
CT_ScoutView_BEZ_FILTRA_	281	0.5	250	73.1137209173	0
CT_ScoutView_BEZ_FILTRA_	281	1	250	73.1199925586	0
CT_ScoutView_BEZ_FILTRA_	281	2	250	73.2140031326	0
CT_ScoutView_BEZ_FILTRA_	281	4	250	73.2682637078	0
CT_ScoutView_BEZ_FILTRA_	281	6	250	73.2872420577	0
CT_ScoutView_BEZ_FILTRA_	281	8	250	73.295344409	0
Kwadraty2_FILTR_	151	1	250	0.400606080564	1
Kwadraty2_FILTR_	101	1	250	0.39227157573	1
Kwadraty2_FILTR_	201	1	250	0.41378271195	1
Kwadraty2_FILTR_	251	1	250	0.406590094988	1
Kwadraty2_FILTR_	301	1	250	0.390861123198	1
Kwadraty2_FILTR_	351	1	250	0.32991451259	1
Kwadraty2_FILTR_	301	1	100	0.337288176762	1
Kwadraty2_FILTR_	301	1	150	0.371618443072	1
Kwadraty2_FILTR_	301	1	200	0.33769194213	1
Kwadraty2_FILTR_	301	1	250	0.390861123198	1
Kwadraty2_FILTR_	301	1	300	0.420448663728	1
Kwadraty2_FILTR_	301	1	350	0.42482801604	1
CT_ScoutView_FILTR_	101	1	250	73.2348307952	1
CT_ScoutView_FILTR_	151	1	250	73.1899015202	1
CT_ScoutView_FILTR_	201	1	250	73.1467409287	1
CT_ScoutView_FILTR_	251	1	250	73.2013353262	1
CT_ScoutView_FILTR_	301	1	250	73.12338955	1
CT_ScoutView_FILTR_	351	1	250	73.118852765	1
CT_ScoutView_FILTR_	301	1	100	73.0962826887	1
CT_ScoutView_FILTR_	301	1	150	73.1374481791	1
CT_ScoutView_FILTR_	301	1	200	73.1248137833	1
CT_ScoutView_FILTR_	301	1	250	73.12338955	1
CT_ScoutView_FILTR_	301	1	300	73.2021380951	1
CT_ScoutView_FILTR_	301	1	350	73.2415444962	1
SADDLE_PE_FILTR_	301	1	150	0.303728568078	1
Kwadraty2_FILTR_	281	1	250	0.41520881672	1
Kwadraty2_BEZ_FILTRA_	281	1	250	0.36229474484	0
Kwadraty2_FILTR_	281	2	250	0.406272538403	1
Kwadraty2_BEZ_FILTRA_	281	2	250	0.362560696981	0
Kwadraty2_FILTR_	281	4	250	0.39376700616	1
Kwadraty2_BEZ_FILTRA_	281	4	250	0.347020074879	0
Kwadraty2_FILTR_	281	6	250	0.366106148615	1
Kwadraty2_BEZ_FILTRA_	281	6	250	0.376399879192	0
Kwadraty2_FILTR_	281	8	250	0.394630988396	1
Kwadraty2_FILTR_	281	16	250	0.406292152408	1
CT_ScoutView_FILTR_	351	1	300	73.1287267916	1
CT_ScoutView_BEZ_FILTRA_	351	1	300	73.1429065015	0
CT_ScoutView-large_FILTR_	351	1	300	0.181247893042	1
Kolo_FILTR_	351	1	300	0.33590350452	1
Kolo_BEZ_FILTRA_	351	1	300	0.348965450253	0
Kropka_FILTR_	351	1	300	0.144254469509	1
Kropka_BEZ_FILTRA_	351	1	350	0.146775535127	0
Kwadraty2_FILTR_	351	1	300	0.397434193425	1
Kwadraty2_BEZ_FILTRA_	351	1	300	0.369735927117	0
Paski2_FILTR_	351	1	300	0.485145345362	1
Paski2_BEZ_FILTRA_	351	1	300	0.460546353223	0
SADDLE_PE_FILTR_	351	1	300	0.347501333156	1
SADDLE_PE_BEZ_FILTRA_	351	1	300	0.334572588801	0
Shepp_logan_FILTR_	351	1	300	0.179342627022	1
Shepp_logan_BEZ_FILTRA_	351	1	300	0.192023987722	0
